city,temperature,timestamp
Paris,26.7,2025-05-13T11:50:28.324531
Sydney,25.3,2026-01-17T11:50:28.324531
Sydney,27.8,2026-01-07T11:50:28.324531
New York,24.0,2025-05-11T11:50:28.324531
London,20.2,2026-01-12T11:50:28.324531
Paris,29.9,2025-03-04T11:50:28.324531
London,6.3,2025-11-16T11:50:28.324531
Tokyo,-8.0,2025-10-15T11:50:28.324531
Sydney,-5.4,2025-05-27T11:50:28.324531
Tokyo,16.1,2025-12-09T11:50:28.324531
Tokyo,31.2,2026-01-20T11:50:28.324531
London,31.3,2026-02-06T11:50:28.324531
Sydney,-3.0,2025-10-27T11:50:28.324531
New York,5.8,2025-06-18T11:50:28.324531
Sydney,30.3,2025-05-15T11:50:28.324531
New York,0.2,2025-10-17T11:50:28.324531
Sydney,27.7,2025-04-14T11:50:28.324531
Sydney,15.2,2025-05-10T11:50:28.324531
Tokyo,26.0,2025-02-25T11:50:28.324531
New York,28.0,2025-02-26T11:50:28.324531
Sydney,16.4,2025-03-31T11:50:28.324531
Paris,26.9,2025-03-02T11:50:28.324531
Tokyo,3.7,2025-11-03T11:50:28.324531
London,27.0,2025-07-05T11:50:28.324531
Paris,-9.1,2025-12-17T11:50:28.324531
Paris,3.3,2025-07-10T11:50:28.324531
Paris,8.6,2025-04-01T11:50:28.324531
Tokyo,1.4,2025-08-22T11:50:28.324531
Paris,-7.5,2025-10-12T11:50:28.324531
New York,24.4,2025-08-17T11:50:28.324531
Tokyo,8.8,2025-06-16T11:50:28.324531
London,3.7,2025-11-18T11:50:28.324531
Sydney,0.3,2025-09-12T11:50:28.324531
Sydney,26.2,2025-10-30T11:50:28.324531
Paris,19.0,2025-05-25T11:50:28.324531
Sydney,34.9,2025-12-25T11:50:28.324531
London,3.2,2025-06-24T11:50:28.324531
Sydney,10.7,2025-12-10T11:50:28.324531
Paris,3.4,2025-05-20T11:50:28.324531
Tokyo,4.7,2025-08-17T11:50:28.324531
Tokyo,34.0,2025-03-26T11:50:28.324531
Tokyo,-9.2,2025-03-09T11:50:28.324531
Tokyo,4.2,2025-06-12T11:50:28.324531
Paris,-1.0,2025-05-31T11:50:28.324531
Paris,22.7,2025-06-08T11:50:28.324531
London,-2.1,2025-06-29T11:50:28.324531
New York,24.8,2025-10-11T11:50:28.324531
Paris,18.9,2025-12-22T11:50:28.324531
Sydney,31.9,2025-11-12T11:50:28.324531
Sydney,14.4,2025-11-10T11:50:28.324531
New York,2.7,2025-10-17T11:50:28.324531
New York,32.2,2025-12-07T11:50:28.324531
London,0.9,2025-03-16T11:50:28.324531
Sydney,21.7,2025-05-05T11:50:28.324531
Paris,24.1,2026-01-29T11:50:28.324531
Tokyo,21.2,2025-04-04T11:50:28.324531
London,23.3,2025-07-11T11:50:28.324531
London,20.3,2025-08-18T11:50:28.324531
Tokyo,18.6,2025-09-07T11:50:28.324531
Tokyo,19.4,2025-11-04T11:50:28.324531
Sydney,31.2,2025-09-25T11:50:28.324531
Paris,4.1,2025-09-11T11:50:28.324531
Paris,4.4,2025-03-24T11:50:28.324531
Tokyo,27.6,2025-11-17T11:50:28.324531
London,12.6,2025-11-28T11:50:28.324531
Paris,25.5,2025-09-20T11:50:28.324531
Paris,5.7,2025-05-21T11:50:28.324531
Tokyo,31.6,2025-12-20T11:50:28.324531
Tokyo,-5.8,2025-07-21T11:50:28.324531
Tokyo,27.6,2025-04-04T11:50:28.324531
Sydney,20.2,2025-08-24T11:50:28.324531
Paris,-0.9,2025-10-17T11:50:28.324531
Tokyo,-2.3,2025-05-10T11:50:28.324531
New York,-4.1,2026-02-01T11:50:28.324531
Sydney,25.2,2025-09-20T11:50:28.324531
Paris,-3.2,2025-12-10T11:50:28.324531
New York,-4.4,2025-05-06T11:50:28.324531
London,-0.9,2025-06-17T11:50:28.324531
New York,15.5,2025-08-31T11:50:28.324531
Paris,-0.9,2025-02-22T11:50:28.324531
New York,27.8,2025-08-02T11:50:28.324531
Paris,25.9,2025-03-17T11:50:28.324531
Paris,-9.0,2025-08-22T11:50:28.324531
New York,-5.0,2025-12-05T11:50:28.324531
Paris,15.9,2026-02-07T11:50:28.324531
Paris,8.3,2025-05-12T11:50:28.324531
London,9.2,2026-01-02T11:50:28.324531
Sydney,7.8,2025-02-24T11:50:28.324531
Paris,13.7,2025-02-16T11:50:28.324531
Sydney,25.8,2025-06-07T11:50:28.324531
Tokyo,3.0,2025-09-20T11:50:28.324531
Paris,31.9,2025-05-09T11:50:28.324531
New York,8.8,2025-08-19T11:50:28.324531
Sydney,26.3,2026-01-09T11:50:28.324531
Paris,31.6,2025-03-18T11:50:28.324531
Sydney,29.4,2025-07-25T11:50:28.324531
Sydney,14.6,2026-02-04T11:50:28.324531
Sydney,-1.5,2025-02-12T11:50:28.324531
Tokyo,-8.1,2025-04-14T11:50:28.324531
Paris,10.4,2025-11-03T11:50:28.324531
Tokyo,-0.0,2025-11-18T11:50:28.324531
Tokyo,5.1,2025-09-06T11:50:28.324531
New York,6.4,2025-10-31T11:50:28.324531
London,-5.8,2025-08-11T11:50:28.324531
New York,28.4,2025-03-19T11:50:28.324531
London,-8.8,2025-08-16T11:50:28.324531
Tokyo,14.7,2025-11-24T11:50:28.324531
Sydney,-9.2,2026-02-10T11:50:28.324531
Sydney,28.7,2025-07-25T11:50:28.324531
New York,11.1,2025-08-23T11:50:28.324531
New York,34.7,2025-07-09T11:50:28.324531
Paris,-4.9,2025-12-06T11:50:28.324531
Paris,-9.6,2025-06-18T11:50:28.324531
New York,24.8,2025-11-16T11:50:28.324531
Tokyo,33.7,2025-03-28T11:50:28.324531
Paris,-7.2,2025-06-30T11:50:28.324531
Sydney,8.5,2025-04-15T11:50:28.324531
New York,20.6,2025-12-29T11:50:28.324531
London,26.5,2025-08-10T11:50:28.324531
Tokyo,7.1,2025-04-23T11:50:28.324531
Paris,3.2,2025-02-14T11:50:28.324531
Sydney,34.9,2025-10-05T11:50:28.324531
Paris,30.1,2025-08-27T11:50:28.324531
New York,27.1,2025-07-10T11:50:28.324531
Tokyo,7.3,2025-07-04T11:50:28.324531
Tokyo,-0.9,2025-03-07T11:50:28.324531
New York,-6.4,2025-06-09T11:50:28.324531
Tokyo,24.2,2025-05-19T11:50:28.324531
Tokyo,11.3,2025-08-07T11:50:28.324531
London,2.4,2025-08-14T11:50:28.324531
Tokyo,13.4,2026-01-19T11:50:28.324531
Paris,21.7,2025-09-26T11:50:28.324531
Sydney,-8.7,2025-12-18T11:50:28.324531
New York,18.5,2025-03-18T11:50:28.324531
Sydney,-7.4,2025-04-17T11:50:28.324531
Sydney,32.6,2025-03-27T11:50:28.324531
London,21.0,2025-08-31T11:50:28.324531
Sydney,35.0,2025-12-11T11:50:28.324531
Tokyo,4.6,2025-06-03T11:50:28.324531
Tokyo,11.6,2025-07-14T11:50:28.324531
Sydney,23.8,2025-09-24T11:50:28.324531
Sydney,11.0,2025-05-03T11:50:28.324531
Sydney,-7.9,2025-03-20T11:50:28.324531
New York,9.7,2025-04-06T11:50:28.324531
London,25.2,2025-11-21T11:50:28.324531
Sydney,-7.0,2025-03-10T11:50:28.324531
London,21.1,2025-11-16T11:50:28.324531
London,-7.3,2025-07-04T11:50:28.324531
London,-6.3,2025-08-28T11:50:28.324531
Paris,21.6,2025-08-10T11:50:28.324531
New York,19.2,2025-05-07T11:50:28.324531
London,1.5,2026-02-05T11:50:28.324531
London,23.9,2025-12-23T11:50:28.324531
London,11.3,2025-06-15T11:50:28.324531
London,10.2,2025-08-07T11:50:28.324531
Paris,10.2,2025-03-16T11:50:28.324531
New York,-3.7,2025-10-18T11:50:28.324531
London,9.6,2025-10-07T11:50:28.324531
Tokyo,24.3,2025-12-21T11:50:28.324531
Paris,16.9,2025-02-25T11:50:28.324531
New York,28.4,2025-11-27T11:50:28.324531
Paris,28.0,2025-05-16T11:50:28.324531
London,-7.7,2025-10-09T11:50:28.324531
London,34.5,2025-06-30T11:50:28.324531
New York,-9.6,2025-07-13T11:50:28.324531
Sydney,29.4,2025-08-07T11:50:28.324531
Paris,13.1,2025-04-19T11:50:28.324531
Tokyo,26.4,2025-10-02T11:50:28.324531
London,20.3,2025-11-01T11:50:28.324531
London,14.3,2025-04-12T11:50:28.324531
Sydney,33.1,2025-02-19T11:50:28.324531
Tokyo,18.0,2025-12-05T11:50:28.324531
Sydney,-4.3,2026-02-07T11:50:28.324531
New York,-2.3,2025-10-13T11:50:28.324531
New York,2.2,2025-09-01T11:50:28.324531
London,11.0,2025-12-06T11:50:28.324531
London,15.7,2025-06-10T11:50:28.324531
Paris,33.6,2025-09-06T11:50:28.324531
New York,31.7,2025-10-16T11:50:28.324531
Sydney,20.7,2026-01-24T11:50:28.324531
New York,7.7,2025-06-03T11:50:28.324531
London,26.3,2025-06-24T11:50:28.324531
London,2.3,2025-05-12T11:50:28.324531
Tokyo,-8.7,2025-06-19T11:50:28.324531
London,15.8,2025-08-03T11:50:28.324531
Sydney,13.2,2025-11-22T11:50:28.324531
Sydney,24.1,2025-09-03T11:50:28.324531
London,23.8,2026-01-25T11:50:28.324531
Tokyo,27.8,2025-09-20T11:50:28.324531
London,8.9,2025-09-07T11:50:28.324531
Sydney,-5.5,2025-04-06T11:50:28.324531
Tokyo,-5.7,2025-11-24T11:50:28.326037
New York,25.2,2025-11-27T11:50:28.326037
London,-5.3,2025-12-21T11:50:28.326037
Paris,-0.4,2025-10-19T11:50:28.326037
London,2.4,2025-05-15T11:50:28.326037
London,9.9,2025-11-15T11:50:28.326037
New York,12.7,2025-12-26T11:50:28.326037
New York,33.5,2025-05-15T11:50:28.326037
London,2.3,2025-11-10T11:50:28.326037
Sydney,30.9,2026-02-03T11:50:28.326037
Sydney,30.6,2025-02-16T11:50:28.326037
Tokyo,27.3,2025-04-11T11:50:28.326037
London,23.0,2025-03-19T11:50:28.326037
London,22.6,2025-12-26T11:50:28.326037
Sydney,25.5,2025-09-10T11:50:28.326037
New York,30.6,2025-11-15T11:50:28.326037
Sydney,4.5,2025-07-16T11:50:28.326037
Tokyo,22.5,2025-10-22T11:50:28.326037
Sydney,7.0,2025-10-02T11:50:28.326037
New York,25.2,2025-04-21T11:50:28.326037
New York,17.8,2025-07-16T11:50:28.326037
Paris,23.4,2025-09-09T11:50:28.326037
New York,17.6,2025-04-24T11:50:28.326037
Paris,15.6,2025-05-16T11:50:28.326037
London,29.0,2026-01-07T11:50:28.326037
Sydney,2.3,2025-03-19T11:50:28.326037
Paris,2.1,2026-02-10T11:50:28.326037
New York,-1.5,2025-06-19T11:50:28.326037
Sydney,21.5,2025-04-04T11:50:28.326037
Paris,6.4,2025-06-14T11:50:28.326037
Sydney,1.9,2025-07-02T11:50:28.326037
London,12.9,2025-06-18T11:50:28.326037
New York,-0.7,2026-01-29T11:50:28.326037
Paris,3.9,2025-05-05T11:50:28.326037
New York,0.4,2025-10-05T11:50:28.326037
London,19.4,2025-02-18T11:50:28.326037
New York,13.7,2025-08-10T11:50:28.326037
London,27.1,2025-08-15T11:50:28.326037
London,11.8,2025-09-21T11:50:28.326037
Sydney,7.9,2025-10-18T11:50:28.326037
London,28.7,2025-04-30T11:50:28.326037
Paris,32.7,2025-08-12T11:50:28.326037
London,1.7,2026-01-13T11:50:28.326037
New York,1.1,2025-12-28T11:50:28.326037
Sydney,-3.0,2025-04-13T11:50:28.326037
London,23.6,2025-05-18T11:50:28.326037
Tokyo,32.2,2025-10-17T11:50:28.326037
Paris,11.8,2025-04-15T11:50:28.326037
Sydney,-7.5,2025-03-23T11:50:28.326037
Paris,8.9,2025-04-18T11:50:28.326037
Tokyo,16.2,2025-09-15T11:50:28.326037
New York,-5.0,2025-06-17T11:50:28.326037
London,26.3,2025-04-18T11:50:28.326037
Paris,6.6,2025-11-16T11:50:28.326037
Tokyo,8.0,2025-10-26T11:50:28.326037
London,16.5,2025-05-19T11:50:28.326037
London,-3.5,2025-04-20T11:50:28.326037
Paris,9.3,2025-09-12T11:50:28.326037
Sydney,14.3,2025-08-22T11:50:28.326037
Sydney,-5.9,2025-06-26T11:50:28.326037
Tokyo,-0.8,2025-06-13T11:50:28.326037
Tokyo,24.6,2025-02-26T11:50:28.326037
Sydney,22.0,2025-05-24T11:50:28.326037
Sydney,9.1,2025-08-28T11:50:28.326037
Sydney,21.5,2025-05-23T11:50:28.326037
Paris,22.6,2025-03-14T11:50:28.326037
Sydney,18.8,2025-10-14T11:50:28.326037
New York,-1.4,2026-01-09T11:50:28.326037
Sydney,16.9,2025-02-16T11:50:28.326037
Tokyo,10.2,2025-08-03T11:50:28.326037
Sydney,24.3,2025-05-27T11:50:28.326037
Sydney,18.9,2026-01-24T11:50:28.326037
New York,6.2,2025-12-17T11:50:28.326037
Paris,34.7,2025-07-14T11:50:28.326037
Tokyo,30.8,2025-08-18T11:50:28.326037
Sydney,8.4,2025-03-17T11:50:28.326037
Sydney,19.2,2025-06-03T11:50:28.326037
New York,9.1,2025-08-31T11:50:28.326037
Paris,3.6,2025-07-29T11:50:28.326037
Paris,22.2,2025-08-18T11:50:28.326037
London,17.0,2025-10-27T11:50:28.326037
London,24.4,2026-02-07T11:50:28.326037
Sydney,-5.5,2025-09-06T11:50:28.326037
London,24.5,2025-02-16T11:50:28.326037
London,24.9,2025-05-31T11:50:28.326037
Paris,28.0,2025-06-17T11:50:28.326037
Sydney,18.1,2025-05-20T11:50:28.326037
Paris,-2.5,2025-06-13T11:50:28.326037
Sydney,34.1,2025-04-30T11:50:28.326037
London,28.7,2025-12-17T11:50:28.326037
Paris,18.3,2025-03-26T11:50:28.326037
Sydney,4.6,2025-02-14T11:50:28.326037
London,-0.1,2025-11-08T11:50:28.326037
Paris,29.2,2025-06-25T11:50:28.326037
Tokyo,27.2,2025-10-07T11:50:28.326037
Sydney,17.3,2025-04-14T11:50:28.326037
Paris,8.6,2025-04-14T11:50:28.326037
Paris,22.4,2025-05-06T11:50:28.326037
Tokyo,-8.5,2026-01-01T11:50:28.326037
Sydney,26.2,2025-11-24T11:50:28.326037
Paris,32.7,2025-11-27T11:50:28.326037
London,13.5,2025-02-26T11:50:28.326037
Sydney,1.5,2025-07-19T11:50:28.326037
London,19.4,2025-06-12T11:50:28.326037
Paris,21.4,2025-10-01T11:50:28.326037
London,28.3,2025-03-30T11:50:28.326037
Paris,11.0,2025-10-17T11:50:28.326037
Tokyo,-1.0,2025-05-16T11:50:28.326037
Sydney,23.5,2025-11-10T11:50:28.326037
New York,-3.1,2025-08-24T11:50:28.326037
New York,11.4,2025-10-25T11:50:28.326037
Tokyo,-4.2,2025-06-01T11:50:28.326037
Paris,6.6,2025-08-04T11:50:28.326037
Paris,16.6,2025-04-20T11:50:28.326037
New York,20.0,2025-10-26T11:50:28.326037
Sydney,11.3,2025-08-07T11:50:28.326037
London,17.2,2025-05-15T11:50:28.326037
New York,15.5,2026-01-16T11:50:28.326037
Tokyo,30.5,2025-06-06T11:50:28.326037
Paris,-9.2,2025-04-01T11:50:28.326037
Sydney,18.0,2025-02-15T11:50:28.326037
Paris,11.6,2026-01-07T11:50:28.326037
Sydney,2.3,2025-03-15T11:50:28.326037
Sydney,-3.9,2025-08-08T11:50:28.326037
Sydney,9.8,2025-10-02T11:50:28.326037
Tokyo,0.1,2025-08-05T11:50:28.326037
Paris,9.2,2025-08-25T11:50:28.326037
Paris,22.3,2025-08-11T11:50:28.326037
Tokyo,-2.3,2025-08-18T11:50:28.326037
Paris,24.2,2025-12-07T11:50:28.326037
Tokyo,27.1,2025-08-20T11:50:28.326037
New York,23.6,2025-11-26T11:50:28.326037
Tokyo,31.0,2025-12-20T11:50:28.326037
Sydney,9.8,2025-06-05T11:50:28.326037
Tokyo,-6.2,2025-07-29T11:50:28.326037
New York,8.3,2025-02-22T11:50:28.326037
Tokyo,12.7,2025-08-10T11:50:28.326037
New York,27.0,2025-04-07T11:50:28.326037
New York,-7.8,2025-03-21T11:50:28.326037
Tokyo,5.2,2025-12-06T11:50:28.326037
Paris,13.5,2025-12-10T11:50:28.326037
New York,14.4,2025-08-18T11:50:28.326037
London,2.9,2025-06-25T11:50:28.326037
Sydney,24.8,2025-02-13T11:50:28.326037
New York,33.5,2025-02-23T11:50:28.326037
Paris,4.9,2025-03-16T11:50:28.326037
London,34.3,2025-09-09T11:50:28.326037
Tokyo,24.6,2025-10-02T11:50:28.326037
Tokyo,-6.2,2025-07-10T11:50:28.326037
Sydney,33.8,2025-05-07T11:50:28.326037
New York,21.0,2025-03-21T11:50:28.326037
New York,17.8,2025-12-13T11:50:28.326037
Sydney,10.6,2026-01-27T11:50:28.326037
Paris,5.0,2025-05-31T11:50:28.326037
New York,-5.6,2025-07-11T11:50:28.326037
Sydney,-1.6,2025-05-26T11:50:28.326037
Paris,7.6,2025-12-05T11:50:28.326037
New York,27.6,2025-06-19T11:50:28.326037
Tokyo,0.0,2025-02-16T11:50:28.326037
London,15.3,2025-12-27T11:50:28.326037
Sydney,-5.3,2025-12-21T11:50:28.326037
Paris,26.0,2025-05-12T11:50:28.326037
Paris,1.0,2025-11-05T11:50:28.326037
Sydney,-9.1,2025-09-16T11:50:28.326037
London,11.4,2025-06-23T11:50:28.326037
Paris,-1.3,2025-03-30T11:50:28.326037
London,20.3,2026-02-09T11:50:28.326037
Sydney,-1.9,2025-11-19T11:50:28.326037
London,13.7,2025-07-21T11:50:28.326037
Sydney,3.1,2025-10-04T11:50:28.326037
Tokyo,7.8,2025-06-10T11:50:28.326037
Sydney,30.5,2025-05-15T11:50:28.326037
Paris,4.8,2025-12-10T11:50:28.326037
New York,0.2,2025-05-27T11:50:28.326037
Paris,18.1,2025-10-17T11:50:28.326037
Paris,15.0,2026-02-04T11:50:28.326037
Sydney,9.9,2025-08-29T11:50:28.326037
Tokyo,24.0,2025-10-12T11:50:28.326037
New York,3.9,2025-08-30T11:50:28.326037
Paris,-8.1,2025-08-02T11:50:28.326037
Tokyo,-1.1,2025-02-14T11:50:28.326037
Paris,30.3,2025-05-04T11:50:28.326037
Sydney,17.5,2025-06-20T11:50:28.326037
Sydney,21.8,2026-01-09T11:50:28.326037
Tokyo,9.6,2025-11-29T11:50:28.326037
Tokyo,15.6,2025-10-15T11:50:28.326037
London,11.9,2025-07-14T11:50:28.326037
Paris,24.7,2025-08-02T11:50:28.326037
Sydney,24.8,2025-08-24T11:50:28.326037
Tokyo,-7.7,2025-12-30T11:50:28.326037
Sydney,20.4,2025-10-11T11:50:28.326037
Paris,-1.0,2025-12-30T11:50:28.326037
Tokyo,22.8,2026-01-01T11:50:28.326037
New York,34.8,2025-08-23T11:50:28.326037
New York,29.1,2025-12-22T11:50:28.326037
New York,-2.0,2025-10-01T11:50:28.326037
Tokyo,-1.6,2025-11-19T11:50:28.326037
Tokyo,29.6,2025-07-14T11:50:28.326037
Paris,-3.0,2025-05-10T11:50:28.326037
New York,-2.9,2025-10-01T11:50:28.326037
London,0.5,2025-04-17T11:50:28.326037
Paris,-4.7,2025-12-26T11:50:28.326037
London,20.7,2025-10-02T11:50:28.326037
Paris,21.2,2025-04-08T11:50:28.326037
Paris,7.6,2026-01-06T11:50:28.326037
Tokyo,34.4,2025-06-03T11:50:28.326037
London,6.9,2026-01-10T11:50:28.326037
Paris,12.0,2025-12-14T11:50:28.326037
London,25.6,2025-06-19T11:50:28.326037
Paris,10.4,2026-01-20T11:50:28.326037
New York,8.5,2025-04-06T11:50:28.326037
Tokyo,33.7,2025-12-15T11:50:28.326037
Tokyo,11.1,2025-05-03T11:50:28.326037
Tokyo,21.0,2025-04-11T11:50:28.326037
London,28.3,2025-06-12T11:50:28.326037
Paris,30.3,2026-02-07T11:50:28.326037
Paris,20.1,2025-04-07T11:50:28.326037
London,17.5,2025-05-17T11:50:28.326037
Tokyo,11.4,2025-02-17T11:50:28.326037
Paris,-6.6,2025-12-02T11:50:28.326037
London,-2.1,2026-01-22T11:50:28.326037
New York,-3.7,2025-06-08T11:50:28.326037
Sydney,18.7,2025-03-06T11:50:28.326037
New York,-8.8,2025-03-13T11:50:28.326037
Sydney,14.6,2025-10-23T11:50:28.326037
Sydney,-9.4,2025-08-18T11:50:28.326037
New York,4.5,2025-04-09T11:50:28.326037
Tokyo,-0.4,2025-09-28T11:50:28.326037
Sydney,8.3,2025-12-02T11:50:28.326037
Sydney,32.8,2025-09-12T11:50:28.326037
Sydney,23.0,2025-05-09T11:50:28.326037
London,-8.7,2025-04-10T11:50:28.326037
Paris,27.3,2026-01-22T11:50:28.326037
London,2.6,2025-10-27T11:50:28.326037
Paris,13.7,2025-04-07T11:50:28.326037
Sydney,-5.6,2025-12-08T11:50:28.326037
Tokyo,-2.3,2025-08-19T11:50:28.326037
New York,26.9,2025-05-20T11:50:28.326037
Sydney,7.0,2025-12-05T11:50:28.326037
Sydney,3.5,2025-11-21T11:50:28.326037
Paris,4.5,2025-02-11T11:50:28.326037
Tokyo,2.0,2025-10-02T11:50:28.326037
London,26.4,2025-06-17T11:50:28.326037
Sydney,-4.9,2025-02-20T11:50:28.326037
Paris,31.1,2026-01-21T11:50:28.326037
Tokyo,-9.9,2025-08-29T11:50:28.326037
Sydney,27.5,2025-04-04T11:50:28.326037
Tokyo,10.5,2025-10-26T11:50:28.326037
New York,17.0,2025-05-14T11:50:28.326037
Sydney,-3.4,2025-10-28T11:50:28.326037
Tokyo,31.6,2025-08-07T11:50:28.326037
Sydney,14.6,2026-01-10T11:50:28.326037
New York,-4.1,2025-07-20T11:50:28.326037
New York,9.4,2026-02-09T11:50:28.326037
Tokyo,-4.0,2025-10-21T11:50:28.326037
London,30.6,2025-08-05T11:50:28.326037
Paris,27.3,2025-11-24T11:50:28.326037
New York,17.5,2025-12-14T11:50:28.326037
Sydney,12.6,2025-08-30T11:50:28.326037
Sydney,4.9,2025-05-02T11:50:28.326037
Sydney,18.2,2025-03-16T11:50:28.326037
Sydney,34.2,2025-07-05T11:50:28.326037
New York,9.9,2025-12-04T11:50:28.326037
Tokyo,10.0,2025-03-25T11:50:28.326037
Sydney,34.2,2025-07-25T11:50:28.326037
Sydney,8.3,2025-10-24T11:50:28.326037
Sydney,14.8,2025-07-07T11:50:28.326037
London,9.4,2025-12-29T11:50:28.326037
Tokyo,21.9,2025-09-03T11:50:28.326037
New York,6.3,2025-03-23T11:50:28.326037
New York,-5.1,2025-06-24T11:50:28.326037
New York,3.9,2025-05-07T11:50:28.326037
Tokyo,22.8,2025-03-29T11:50:28.326037
Sydney,-4.5,2025-05-10T11:50:28.326037
Tokyo,27.5,2025-12-24T11:50:28.326037
Tokyo,-1.8,2025-06-29T11:50:28.326037
Tokyo,5.0,2025-05-04T11:50:28.326037
Sydney,12.1,2025-05-30T11:50:28.326037
Tokyo,31.8,2025-04-27T11:50:28.326037
Sydney,19.5,2025-04-05T11:50:28.326037
Sydney,25.5,2025-07-09T11:50:28.326037
Sydney,12.3,2025-03-24T11:50:28.326037
Sydney,17.7,2025-11-19T11:50:28.326037
London,33.4,2026-02-09T11:50:28.326037
Sydney,17.0,2025-10-09T11:50:28.326037
Paris,-0.5,2025-08-29T11:50:28.326037
Paris,34.6,2025-06-15T11:50:28.326037
Sydney,10.9,2025-03-05T11:50:28.326037
London,4.8,2025-05-22T11:50:28.326037
Sydney,7.0,2025-07-01T11:50:28.326037
London,25.7,2025-04-18T11:50:28.326037
New York,-2.9,2025-05-15T11:50:28.326037
London,-9.4,2025-04-16T11:50:28.326037
New York,29.1,2025-05-22T11:50:28.326037
Tokyo,-2.4,2026-02-09T11:50:28.326037
